user_id,email,creation_date,last_activity_date,firstname,lastname,address,canal,country,gender,age_group,churn,order_count,total_amount,total_item,last_transaction,platform,event_count,session_count,last_event,days_since_creation,days_since_last_activity,days_last_event
5568852e-b0b9-4f92-b27a-005bf1354c95,4b760d7433cc6f93422e5473247ab3fb6f7af111,2021-05-06T00:00:00.000+0000,2022-10-02T02:13:59.000+0000,Patrick,Reyes,"54609 Trevor Stravenue Suite 631
Lake David, CA 06737",WEBAPP,FR,1,3,0,3,182,7,2022-10-24T06:20:03.000+0000,other,3,3,2022-10-26T18:31:53.000+0000,548,34,10
55e0acb1-3be2-4188-b89d-96845e7d5bb6,ad6afe9b0893269bd81046eb8413b851c1321997,2021-06-06T00:00:00.000+0000,2022-10-10T15:25:51.000+0000,Mary,Huff,"4560 Dawn Shore Apt. 136
Scottland, AK 06048",PHONE,SPAIN,0,0,1,4,258,9,2022-10-28T05:52:37.000+0000,other,4,4,2022-10-24T12:36:24.000+0000,517,26,12
b98bbc54-5ec3-4546-b6b3-6f5d8a6a851c,4b760d7433cc6f93422e5473247ab3fb6f7af111,2021-03-07T00:00:00.000+0000,2022-10-02T02:13:59.000+0000,Patrick,Reyes,"54609 Trevor Stravenue Suite 631
Lake David, CA 06737",WEBAPP,SPAIN,1,9,1,5,210,10,2022-10-21T16:27:40.000+0000,other,5,5,2022-10-21T04:23:36.000+0000,608,34,15
9eddcfff-ba31-4b74-a54e-28d71a3a0b81,ce0918224558650cc4eec5a5b6460dffe02c7c62,2021-01-11T00:00:00.000+0000,2022-10-27T03:04:14.000+0000,Thomas,Woods,"841 Lewis Fort Suite 763
Port Stephenfort, IN 41847",WEBAPP,SPAIN,1,4,1,6,284,12,2022-10-26T20:52:32.000+0000,other,6,6,2022-10-04T22:29:21.000+0000,663,9,32
b82809b1-db9d-4eaa-93aa-f890fbf1173f,5e23434bbf011fd9f42a798bcf13c970f07e15c3,2021-07-06T00:00:00.000+0000,2022-10-26T16:16:01.000+0000,Christian,Miller,"73150 Deborah Crescent Suite 413
East Henry, NV 79520",WEBAPP,SPAIN,1,3,0,3,100,6,2022-10-21T01:09:06.000+0000,ios,3,3,2022-10-08T17:22:55.000+0000,487,10,28
8ec98205-0137-4149-8147-76fd77484a34,6120277e94b3169b9addac5e3f28eef2030ed873,2021-05-06T00:00:00.000+0000,2022-10-13T07:16:01.000+0000,Brittany,Watkins,"852 Bradley Brooks
South Richardport, VA 58398",MOBILE,SPAIN,1,6,0,4,204,8,2022-10-25T12:42:57.000+0000,ios,4,4,2022-10-10T17:27:22.000+0000,548,23,26
226afe84-6e72-47ae-a0e4-ee692f3e9157,2015d29b44428bf4aa7a2791a1e4f695adbfdc7e,2021-02-15T00:00:00.000+0000,2022-10-17T10:41:31.000+0000,Terry,Harrison,"23896 Wood Walks
Brendaview, AK 14555",WEBAPP,USA,1,2,1,4,208,8,2022-10-20T12:28:56.000+0000,other,4,4,2022-10-20T02:36:06.000+0000,628,19,16
f1a08612-ab0c-4980-a4f7-c046a7ac15f6,41d64285901e6367fbae48663e96c72891261bef,2021-04-04T00:00:00.000+0000,2022-10-15T21:03:31.000+0000,Amber,Fernandez,"20339 White Forge Suite 946
Port Samantha, WV 67389",WEBAPP,USA,1,6,1,2,112,4,2022-10-16T05:44:27.000+0000,other,2,2,2022-10-07T20:47:37.000+0000,580,21,29
2b305ed7-bf13-48ce-8736-bbb878f1d775,50c4777e6926a9ec40e1ae02280b8e6be87c8dd5,2021-06-05T00:00:00.000+0000,2022-10-11T09:43:35.000+0000,Vanessa,Mcneil,"431 Steven Isle Apt. 018
Lake Cesar, IN 87011",PHONE,USA,1,8,1,2,86,4,2022-10-16T14:06:12.000+0000,other,2,2,2022-10-07T03:49:47.000+0000,518,25,29
546d4897-4dbc-40ae-b049-e97d217e3425,b25c811c51e5a78a2e39e2339e8eb85ef0c3d15d,2021-04-11T00:00:00.000+0000,2022-10-15T00:25:02.000+0000,Corey,Garcia,"3524 Evans Crescent Apt. 385
Greenfurt, VT 94522",WEBAPP,SPAIN,1,3,1,5,188,8,2022-10-26T02:58:52.000+0000,ios,5,5,2022-10-20T06:11:42.000+0000,573,21,16
8a0b58a6-74c1-4a6d-829f-6b52e5bfd828,ccba7cc2d4e97654292c641e97a7c1fffb5387a3,2021-08-07T00:00:00.000+0000,2022-10-06T06:23:50.000+0000,Katherine,Blake,"6763 Cook Roads Suite 466
Lake Andrew, IN 32495",PHONE,USA,0,7,1,7,389,15,2022-10-27T02:31:27.000+0000,ios,7,6,2022-10-25T23:19:20.000+0000,455,30,11
c5848971-0b5d-44e0-94cc-bdf8d68fed4c,8acc3a4b578e130f3f2d174de6078e09fac9c3c2,2021-01-20T00:00:00.000+0000,2022-10-12T04:33:58.000+0000,Kathryn,Gallagher,"6685 Mcdaniel Track Suite 776
New Rachelhaven, VT 80242",PHONE,SPAIN,1,1,1,4,236,8,2022-10-20T21:36:41.000+0000,ios,4,3,2022-10-06T02:06:48.000+0000,654,24,30
